geo_type,region,transportation_type,alternative_name,sub-region,country,date,relative_mobility
city,Albuquerque,driving,NA,New Mexico,United States,2020-06-25,132.54
city,Albuquerque,driving,NA,New Mexico,United States,2020-06-26,148.03
city,Albuquerque,driving,NA,New Mexico,United States,2020-06-27,140.99
city,Albuquerque,driving,NA,New Mexico,United States,2020-06-28,108.4
city,Albuquerque,driving,NA,New Mexico,United States,2020-06-29,128.47
city,Albuquerque,driving,NA,New Mexico,United States,2020-06-30,130.3
city,Albuquerque,driving,NA,New Mexico,United States,2020-07-01,133.55
city,Albuquerque,driving,NA,New Mexico,United States,2020-07-02,140.8
city,Albuquerque,driving,NA,New Mexico,United States,2020-07-03,136.51
city,Albuquerque,driving,NA,New Mexico,United States,2020-07-04,101.41
city,Albuquerque,driving,NA,New Mexico,United States,2020-07-05,94.25
city,Albuquerque,driving,NA,New Mexico,United States,2020-07-06,123.37
city,Albuquerque,driving,NA,New Mexico,United States,2020-07-07,128.82
city,Albuquerque,driving,NA,New Mexico,United States,2020-07-08,128.11
city,Albuquerque,driving,NA,New Mexico,United States,2020-07-09,128.97
city,Albuquerque,driving,NA,New Mexico,United States,2020-07-10,146.15
city,Albuquerque,driving,NA,New Mexico,United States,2020-07-11,133.32
city,Albuquerque,driving,NA,New Mexico,United States,2020-07-12,100.8
city,Albuquerque,driving,NA,New Mexico,United States,2020-07-13,115.25
city,Albuquerque,driving,NA,New Mexico,United States,2020-07-14,122.41
city,Albuquerque,driving,NA,New Mexico,United States,2020-07-15,125.34
city,Albuquerque,driving,NA,New Mexico,United States,2020-07-16,126.3
city,Albuquerque,driving,NA,New Mexico,United States,2020-07-17,146.26
city,Albuquerque,driving,NA,New Mexico,United States,2020-07-18,131.66
city,Albuquerque,driving,NA,New Mexico,United States,2020-07-19,102.47
city,Albuquerque,driving,NA,New Mexico,United States,2020-07-20,120.87
city,Albuquerque,driving,NA,New Mexico,United States,2020-07-21,122.79
city,Albuquerque,driving,NA,New Mexico,United States,2020-07-22,125.72
city,Albuquerque,driving,NA,New Mexico,United States,2020-07-23,129.11
city,Albuquerque,driving,NA,New Mexico,United States,2020-07-24,142.15
city,Albuquerque,driving,NA,New Mexico,United States,2020-07-25,130.41
city,Albuquerque,driving,NA,New Mexico,United States,2020-07-26,103.14
city,Albuquerque,driving,NA,New Mexico,United States,2020-07-27,118.49
city,Albuquerque,driving,NA,New Mexico,United States,2020-07-28,126.3
city,Albuquerque,driving,NA,New Mexico,United States,2020-07-29,131.7
city,Albuquerque,driving,NA,New Mexico,United States,2020-07-30,135.73
city,Albuquerque,driving,NA,New Mexico,United States,2020-07-31,152.07
city,Albuquerque,driving,NA,New Mexico,United States,2020-08-01,136.09
city,Albuquerque,driving,NA,New Mexico,United States,2020-08-02,104.26
city,Albuquerque,driving,NA,New Mexico,United States,2020-08-03,127.38
city,Albuquerque,driving,NA,New Mexico,United States,2020-08-04,130.7
city,Albuquerque,driving,NA,New Mexico,United States,2020-08-05,127.43
city,Albuquerque,driving,NA,New Mexico,United States,2020-08-06,133.7
city,Albuquerque,driving,NA,New Mexico,United States,2020-08-07,150.4
city,Albuquerque,driving,NA,New Mexico,United States,2020-08-08,139.53
city,Albuquerque,driving,NA,New Mexico,United States,2020-08-09,109.64
city,Albuquerque,driving,NA,New Mexico,United States,2020-08-10,124.77
city,Albuquerque,driving,NA,New Mexico,United States,2020-08-11,128.33
city,Albuquerque,driving,NA,New Mexico,United States,2020-08-12,126.63
city,Albuquerque,driving,NA,New Mexico,United States,2020-08-13,133.01
city,Albuquerque,driving,NA,New Mexico,United States,2020-08-14,150.15
city,Albuquerque,driving,NA,New Mexico,United States,2020-08-15,142.96
city,Albuquerque,driving,NA,New Mexico,United States,2020-08-16,109.8
city,Albuquerque,driving,NA,New Mexico,United States,2020-08-17,123.18
city,Albuquerque,driving,NA,New Mexico,United States,2020-08-18,123.74
city,Albuquerque,driving,NA,New Mexico,United States,2020-08-19,126.24
city,Albuquerque,driving,NA,New Mexico,United States,2020-08-20,128.97
city,Albuquerque,driving,NA,New Mexico,United States,2020-08-21,151.02
city,Albuquerque,driving,NA,New Mexico,United States,2020-08-22,137.28
city,Albuquerque,driving,NA,New Mexico,United States,2020-08-23,104.68
city,Albuquerque,driving,NA,New Mexico,United States,2020-08-24,116.78
city,Albuquerque,driving,NA,New Mexico,United States,2020-08-25,119.75
city,Albuquerque,driving,NA,New Mexico,United States,2020-08-26,123.38
city,Albuquerque,driving,NA,New Mexico,United States,2020-08-27,124.67
city,Albuquerque,driving,NA,New Mexico,United States,2020-08-28,146.08
city,Albuquerque,driving,NA,New Mexico,United States,2020-08-29,139.3
city,Albuquerque,driving,NA,New Mexico,United States,2020-08-30,105.64
city,Albuquerque,driving,NA,New Mexico,United States,2020-08-31,119.03
city,Albuquerque,driving,NA,New Mexico,United States,2020-09-01,121.61
city,Albuquerque,driving,NA,New Mexico,United States,2020-09-02,124.5
city,Albuquerque,driving,NA,New Mexico,United States,2020-09-03,131.25
city,Albuquerque,driving,NA,New Mexico,United States,2020-09-04,151.47
city,Albuquerque,driving,NA,New Mexico,United States,2020-09-05,137.94
city,Albuquerque,driving,NA,New Mexico,United States,2020-09-06,109.76
city,Albuquerque,driving,NA,New Mexico,United States,2020-09-07,102.83
city,Albuquerque,driving,NA,New Mexico,United States,2020-09-08,119.93
city,Albuquerque,driving,NA,New Mexico,United States,2020-09-09,120.98
city,Albuquerque,driving,NA,New Mexico,United States,2020-09-10,124.98
city,Albuquerque,driving,NA,New Mexico,United States,2020-09-11,147.92
city,Albuquerque,driving,NA,New Mexico,United States,2020-09-12,143.36
city,Albuquerque,driving,NA,New Mexico,United States,2020-09-13,104.82
city,Albuquerque,driving,NA,New Mexico,United States,2020-09-14,122.11
city,Albuquerque,driving,NA,New Mexico,United States,2020-09-15,124.12
city,Albuquerque,driving,NA,New Mexico,United States,2020-09-16,126.45
city,Albuquerque,driving,NA,New Mexico,United States,2020-09-17,128.28
city,Albuquerque,driving,NA,New Mexico,United States,2020-09-18,149.06
city,Albuquerque,driving,NA,New Mexico,United States,2020-09-19,141.44
city,Albuquerque,driving,NA,New Mexico,United States,2020-09-20,104.68
city,Albuquerque,driving,NA,New Mexico,United States,2020-09-21,115.04
city,Albuquerque,driving,NA,New Mexico,United States,2020-09-22,121.04
city,Albuquerque,driving,NA,New Mexico,United States,2020-09-23,120.43
city,Albuquerque,driving,NA,New Mexico,United States,2020-09-24,122.11
city,Albuquerque,driving,NA,New Mexico,United States,2020-09-25,142.32
city,Albuquerque,driving,NA,New Mexico,United States,2020-09-26,133.53
city,Albuquerque,driving,NA,New Mexico,United States,2020-09-27,98.93
city,Albuquerque,driving,NA,New Mexico,United States,2020-09-28,112.45
city,Albuquerque,driving,NA,New Mexico,United States,2020-09-29,115.04
city,Albuquerque,driving,NA,New Mexico,United States,2020-09-30,116.28
city,Albuquerque,driving,NA,New Mexico,United States,2020-10-01,120.88
city,Albuquerque,driving,NA,New Mexico,United States,2020-10-02,141.77
city,Albuquerque,driving,NA,New Mexico,United States,2020-10-03,133.13
city,Albuquerque,driving,NA,New Mexico,United States,2020-10-04,98.45
city,Albuquerque,driving,NA,New Mexico,United States,2020-10-05,109.51
city,Albuquerque,driving,NA,New Mexico,United States,2020-10-06,115.38
city,Albuquerque,driving,NA,New Mexico,United States,2020-10-07,118.04
city,Albuquerque,driving,NA,New Mexico,United States,2020-10-08,122.14
city,Albuquerque,driving,NA,New Mexico,United States,2020-10-09,140.66
city,Albuquerque,driving,NA,New Mexico,United States,2020-10-10,127.83
city,Albuquerque,driving,NA,New Mexico,United States,2020-10-11,96.95
city,Albuquerque,driving,NA,New Mexico,United States,2020-10-12,111.24
city,Albuquerque,driving,NA,New Mexico,United States,2020-10-13,109.85
city,Albuquerque,driving,NA,New Mexico,United States,2020-10-14,118.56
city,Albuquerque,driving,NA,New Mexico,United States,2020-10-15,121.64
city,Albuquerque,driving,NA,New Mexico,United States,2020-10-16,138.46
city,Albuquerque,driving,NA,New Mexico,United States,2020-10-17,130.51
city,Albuquerque,driving,NA,New Mexico,United States,2020-10-18,94.62
city,Albuquerque,driving,NA,New Mexico,United States,2020-10-19,106.75
city,Albuquerque,driving,NA,New Mexico,United States,2020-10-20,110.45
city,Albuquerque,driving,NA,New Mexico,United States,2020-10-21,111.03
city,Albuquerque,driving,NA,New Mexico,United States,2020-10-22,114.87
city,Albuquerque,driving,NA,New Mexico,United States,2020-10-23,135.52
city,Albuquerque,driving,NA,New Mexico,United States,2020-10-24,125.17
city,Albuquerque,driving,NA,New Mexico,United States,2020-10-25,90.23
city,Albuquerque,driving,NA,New Mexico,United States,2020-10-26,98.66
city,Albuquerque,driving,NA,New Mexico,United States,2020-10-27,79.08
city,Albuquerque,driving,NA,New Mexico,United States,2020-10-28,102.95
city,Albuquerque,driving,NA,New Mexico,United States,2020-10-29,116.34
city,Albuquerque,driving,NA,New Mexico,United States,2020-10-30,133.85
city,Albuquerque,driving,NA,New Mexico,United States,2020-10-31,126.64
city,Albuquerque,driving,NA,New Mexico,United States,2020-11-01,85.46
city,Albuquerque,driving,NA,New Mexico,United States,2020-11-02,101.65
city,Albuquerque,driving,NA,New Mexico,United States,2020-11-03,104.62
city,Albuquerque,driving,NA,New Mexico,United States,2020-11-04,96.82
city,Albuquerque,driving,NA,New Mexico,United States,2020-11-05,100.6
city,Albuquerque,driving,NA,New Mexico,United States,2020-11-06,115.27
city,Albuquerque,driving,NA,New Mexico,United States,2020-11-07,102.87
city,Albuquerque,driving,NA,New Mexico,United States,2020-11-08,78.15
city,Albuquerque,driving,NA,New Mexico,United States,2020-11-09,93.6
city,Albuquerque,driving,NA,New Mexico,United States,2020-11-10,96.86
city,Albuquerque,driving,NA,New Mexico,United States,2020-11-11,102.72
city,Albuquerque,driving,NA,New Mexico,United States,2020-11-12,90.45
city,Albuquerque,driving,NA,New Mexico,United States,2020-11-13,112.47
city,Albuquerque,driving,NA,New Mexico,United States,2020-11-14,101.06
city,Albuquerque,driving,NA,New Mexico,United States,2020-11-15,78.52
city,Albuquerque,driving,NA,New Mexico,United States,2020-11-16,85.15
city,Albuquerque,driving,NA,New Mexico,United States,2020-11-17,88.02
city,Albuquerque,driving,NA,New Mexico,United States,2020-11-18,90.47
city,Albuquerque,driving,NA,New Mexico,United States,2020-11-19,91.47
city,Albuquerque,driving,NA,New Mexico,United States,2020-11-20,105.4
city,Albuquerque,driving,NA,New Mexico,United States,2020-11-21,93.34
city,Albuquerque,driving,NA,New Mexico,United States,2020-11-22,72.2
city,Albuquerque,driving,NA,New Mexico,United States,2020-11-23,91.71
city,Albuquerque,driving,NA,New Mexico,United States,2020-11-24,94.58
city,Albuquerque,driving,NA,New Mexico,United States,2020-11-25,100.02
city,Albuquerque,driving,NA,New Mexico,United States,2020-11-26,42.6
city,Albuquerque,driving,NA,New Mexico,United States,2020-11-27,75.9
city,Albuquerque,driving,NA,New Mexico,United States,2020-11-28,82.91
city,Albuquerque,driving,NA,New Mexico,United States,2020-11-29,71.66
city,Albuquerque,driving,NA,New Mexico,United States,2020-11-30,88.85
city,Albuquerque,driving,NA,New Mexico,United States,2020-12-01,92.61
city,Albuquerque,driving,NA,New Mexico,United States,2020-12-02,90.39
city,Albuquerque,driving,NA,New Mexico,United States,2020-12-03,94.25
city,Albuquerque,driving,NA,New Mexico,United States,2020-12-04,106.8
city,Albuquerque,driving,NA,New Mexico,United States,2020-12-05,99.35
city,Albuquerque,driving,NA,New Mexico,United States,2020-12-06,75.4
city,Albuquerque,driving,NA,New Mexico,United States,2020-12-07,90.76
city,Albuquerque,driving,NA,New Mexico,United States,2020-12-08,95.52
city,Albuquerque,driving,NA,New Mexico,United States,2020-12-09,99.51
city,Albuquerque,driving,NA,New Mexico,United States,2020-12-10,92.28
city,Albuquerque,driving,NA,New Mexico,United States,2020-12-11,113.32
city,Albuquerque,driving,NA,New Mexico,United States,2020-12-12,104.94
city,Albuquerque,driving,NA,New Mexico,United States,2020-12-13,82.78
city,Albuquerque,driving,NA,New Mexico,United States,2020-12-14,98.1
city,Albuquerque,driving,NA,New Mexico,United States,2020-12-15,101.6
city,Albuquerque,driving,NA,New Mexico,United States,2020-12-16,104.12
city,Albuquerque,driving,NA,New Mexico,United States,2020-12-17,106.6
city,Albuquerque,driving,NA,New Mexico,United States,2020-12-18,123.91
city,Albuquerque,driving,NA,New Mexico,United States,2020-12-19,118.62
city,Albuquerque,driving,NA,New Mexico,United States,2020-12-20,93.41
city,Albuquerque,driving,NA,New Mexico,United States,2020-12-21,116.44
city,Albuquerque,driving,NA,New Mexico,United States,2020-12-22,117.78
city,Albuquerque,driving,NA,New Mexico,United States,2020-12-23,121.39
city,Albuquerque,driving,NA,New Mexico,United States,2020-12-24,88.1
city,Albuquerque,driving,NA,New Mexico,United States,2020-12-25,43.18
city,Albuquerque,driving,NA,New Mexico,United States,2020-12-26,90.03
city,Albuquerque,driving,NA,New Mexico,United States,2020-12-27,83.45
city,Albuquerque,driving,NA,New Mexico,United States,2020-12-28,101.39
city,Albuquerque,driving,NA,New Mexico,United States,2020-12-29,103.11
city,Albuquerque,driving,NA,New Mexico,United States,2020-12-30,106.59
city,Albuquerque,driving,NA,New Mexico,United States,2020-12-31,106.06
city,Albuquerque,driving,NA,New Mexico,United States,2021-01-01,78.37
city,Albuquerque,driving,NA,New Mexico,United States,2021-01-02,99.43
city,Albuquerque,driving,NA,New Mexico,United States,2021-01-03,83.07
city,Albuquerque,driving,NA,New Mexico,United States,2021-01-04,101.77
city,Albuquerque,driving,NA,New Mexico,United States,2021-01-05,102.25
