geo_type,region,transportation_type,alternative_name,sub-region,country,date,relative_mobility
city,Honolulu,driving,NA,Hawaii,United States,2020-06-07,60.42
city,Honolulu,driving,NA,Hawaii,United States,2020-06-08,65.3
city,Honolulu,driving,NA,Hawaii,United States,2020-06-09,66.16
city,Honolulu,driving,NA,Hawaii,United States,2020-06-10,65.43
city,Honolulu,driving,NA,Hawaii,United States,2020-06-11,65.89
city,Honolulu,driving,NA,Hawaii,United States,2020-06-12,79.66
city,Honolulu,driving,NA,Hawaii,United States,2020-06-13,77.41
city,Honolulu,driving,NA,Hawaii,United States,2020-06-14,60.07
city,Honolulu,driving,NA,Hawaii,United States,2020-06-15,73.3
city,Honolulu,driving,NA,Hawaii,United States,2020-06-16,75.41
city,Honolulu,driving,NA,Hawaii,United States,2020-06-17,70.43
city,Honolulu,driving,NA,Hawaii,United States,2020-06-18,69.92
city,Honolulu,driving,NA,Hawaii,United States,2020-06-19,79.6
city,Honolulu,driving,NA,Hawaii,United States,2020-06-20,80.6
city,Honolulu,driving,NA,Hawaii,United States,2020-06-21,57.97
city,Honolulu,driving,NA,Hawaii,United States,2020-06-22,67.76
city,Honolulu,driving,NA,Hawaii,United States,2020-06-23,69.9
city,Honolulu,driving,NA,Hawaii,United States,2020-06-24,70.99
city,Honolulu,driving,NA,Hawaii,United States,2020-06-25,73.68
city,Honolulu,driving,NA,Hawaii,United States,2020-06-26,86.99
city,Honolulu,driving,NA,Hawaii,United States,2020-06-27,81.73
city,Honolulu,driving,NA,Hawaii,United States,2020-06-28,65.87
city,Honolulu,driving,NA,Hawaii,United States,2020-06-29,71.92
city,Honolulu,driving,NA,Hawaii,United States,2020-06-30,74.38
city,Honolulu,driving,NA,Hawaii,United States,2020-07-01,76.68
city,Honolulu,driving,NA,Hawaii,United States,2020-07-02,82.42
city,Honolulu,driving,NA,Hawaii,United States,2020-07-03,83.25
city,Honolulu,driving,NA,Hawaii,United States,2020-07-04,64.67
city,Honolulu,driving,NA,Hawaii,United States,2020-07-05,63.32
city,Honolulu,driving,NA,Hawaii,United States,2020-07-06,74.96
city,Honolulu,driving,NA,Hawaii,United States,2020-07-07,71.78
city,Honolulu,driving,NA,Hawaii,United States,2020-07-08,73.69
city,Honolulu,driving,NA,Hawaii,United States,2020-07-09,73.19
city,Honolulu,driving,NA,Hawaii,United States,2020-07-10,81.3
city,Honolulu,driving,NA,Hawaii,United States,2020-07-11,77.82
city,Honolulu,driving,NA,Hawaii,United States,2020-07-12,61.1
city,Honolulu,driving,NA,Hawaii,United States,2020-07-13,70.86
city,Honolulu,driving,NA,Hawaii,United States,2020-07-14,72.58
city,Honolulu,driving,NA,Hawaii,United States,2020-07-15,73.38
city,Honolulu,driving,NA,Hawaii,United States,2020-07-16,74.33
city,Honolulu,driving,NA,Hawaii,United States,2020-07-17,82.69
city,Honolulu,driving,NA,Hawaii,United States,2020-07-18,82.01
city,Honolulu,driving,NA,Hawaii,United States,2020-07-19,65.35
city,Honolulu,driving,NA,Hawaii,United States,2020-07-20,72.51
city,Honolulu,driving,NA,Hawaii,United States,2020-07-21,73.63
city,Honolulu,driving,NA,Hawaii,United States,2020-07-22,76.25
city,Honolulu,driving,NA,Hawaii,United States,2020-07-23,78.08
city,Honolulu,driving,NA,Hawaii,United States,2020-07-24,84.88
city,Honolulu,driving,NA,Hawaii,United States,2020-07-25,74.55
city,Honolulu,driving,NA,Hawaii,United States,2020-07-26,31.13
city,Honolulu,driving,NA,Hawaii,United States,2020-07-27,63.04
city,Honolulu,driving,NA,Hawaii,United States,2020-07-28,72.44
city,Honolulu,driving,NA,Hawaii,United States,2020-07-29,76.22
city,Honolulu,driving,NA,Hawaii,United States,2020-07-30,77.35
city,Honolulu,driving,NA,Hawaii,United States,2020-07-31,85
city,Honolulu,driving,NA,Hawaii,United States,2020-08-01,81.98
city,Honolulu,driving,NA,Hawaii,United States,2020-08-02,65.32
city,Honolulu,driving,NA,Hawaii,United States,2020-08-03,73.62
city,Honolulu,driving,NA,Hawaii,United States,2020-08-04,73.3
city,Honolulu,driving,NA,Hawaii,United States,2020-08-05,73.83
city,Honolulu,driving,NA,Hawaii,United States,2020-08-06,74.47
city,Honolulu,driving,NA,Hawaii,United States,2020-08-07,81.57
city,Honolulu,driving,NA,Hawaii,United States,2020-08-08,73.87
city,Honolulu,driving,NA,Hawaii,United States,2020-08-09,56.67
city,Honolulu,driving,NA,Hawaii,United States,2020-08-10,68.81
city,Honolulu,driving,NA,Hawaii,United States,2020-08-11,68.07
city,Honolulu,driving,NA,Hawaii,United States,2020-08-12,70.13
city,Honolulu,driving,NA,Hawaii,United States,2020-08-13,71.77
city,Honolulu,driving,NA,Hawaii,United States,2020-08-14,81.68
city,Honolulu,driving,NA,Hawaii,United States,2020-08-15,74.68
city,Honolulu,driving,NA,Hawaii,United States,2020-08-16,60.53
city,Honolulu,driving,NA,Hawaii,United States,2020-08-17,69.26
city,Honolulu,driving,NA,Hawaii,United States,2020-08-18,68.59
city,Honolulu,driving,NA,Hawaii,United States,2020-08-19,68.8
city,Honolulu,driving,NA,Hawaii,United States,2020-08-20,69.9
city,Honolulu,driving,NA,Hawaii,United States,2020-08-21,78.58
city,Honolulu,driving,NA,Hawaii,United States,2020-08-22,72.78
city,Honolulu,driving,NA,Hawaii,United States,2020-08-23,56.41
city,Honolulu,driving,NA,Hawaii,United States,2020-08-24,65.06
city,Honolulu,driving,NA,Hawaii,United States,2020-08-25,67.76
city,Honolulu,driving,NA,Hawaii,United States,2020-08-26,74.03
city,Honolulu,driving,NA,Hawaii,United States,2020-08-27,62.63
city,Honolulu,driving,NA,Hawaii,United States,2020-08-28,65.71
city,Honolulu,driving,NA,Hawaii,United States,2020-08-29,62.37
city,Honolulu,driving,NA,Hawaii,United States,2020-08-30,50.21
city,Honolulu,driving,NA,Hawaii,United States,2020-08-31,59.12
city,Honolulu,driving,NA,Hawaii,United States,2020-09-01,64.73
city,Honolulu,driving,NA,Hawaii,United States,2020-09-02,60.58
