geo_type,region,transportation_type,alternative_name,sub-region,country,date,mobility percentage
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2020-10-18,115.27
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2020-10-19,161.14
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2020-10-20,159.63
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2020-10-21,167.67
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2020-10-22,163.35
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2020-10-23,192.31
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2020-10-24,183.42
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2020-10-25,117.74
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2020-10-26,136.3
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2020-10-27,150.01
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2020-10-28,151.54
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2020-10-29,145.79
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2020-10-30,176.19
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2020-10-31,194.83
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2020-11-01,112.46
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2020-11-02,139.47
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2020-11-03,149.07
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2020-11-04,126.75
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2020-11-05,131.5
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2020-11-06,147.27
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2020-11-07,148.53
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2020-11-08,85.55
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2020-11-09,134.04
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2020-11-10,136.21
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2020-11-11,134.68
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2020-11-12,122.52
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2020-11-13,150.46
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2020-11-14,128.13
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2020-11-15,97.74
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2020-11-16,127.53
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2020-11-17,129.43
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2020-11-18,131.27
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2020-11-19,124.46
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2020-11-20,138.69
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2020-11-21,136.86
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2020-11-22,100.52
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2020-11-23,129.43
